PLAYER_NAME,0 Dribbles,1 Dribble,2 Dribbles,3-6 Dribbles,7+ Dribbles
JJ Hickson,0.671,0.174,0.077,0.077,0
Jonathon Simmons,0.402,0.141,0.166,0.199,0.091
Richaun Holmes,0.788,0.171,0.032,0.009,0
Troy Daniels,0.706,0.128,0.096,0.043,0.027
JaKarr Sampson,0.454,0.259,0.145,0.132,0.009
Marcelo Huertas,0.239,0.13,0.161,0.213,0.257
Justin Holiday,0.538,0.147,0.147,0.147,0.022
Tyus Jones,0.252,0.129,0.065,0.213,0.342
Anthony Brown,0.616,0.104,0.168,0.104,0.008
Jarell Martin,0.629,0.25,0.086,0.034,0
Tiago Splitter,0.627,0.2,0.087,0.087,0
Dwight Powell,0.872,0.105,0.02,0.003,0
Amar'e Stoudemire,0.751,0.131,0.059,0.059,0
Kevin Seraphin,0.525,0.211,0.186,0.074,0.005
James Johnson,0.409,0.153,0.17,0.243,0.026
Richard Jefferson,0.671,0.158,0.113,0.048,0.01
Kyle O'Quinn,0.76,0.125,0.081,0.03,0.004
CJ Watson,0.372,0.153,0.109,0.219,0.146
Steve Blake,0.45,0.088,0.058,0.163,0.242
Ryan Kelly,0.604,0.141,0.148,0.107,0
Thomas Robinson,0.625,0.179,0.11,0.079,0.007
Ed Davis,0.728,0.183,0.058,0.031,0
Tyler Ennis,0.273,0.07,0.144,0.267,0.246
Andrew Bogut,0.74,0.183,0.055,0.022,0
JaVale McGee,0.769,0.127,0.09,0.015,0
Andre Roberson,0.766,0.176,0.033,0.026,0
Nemanja Bjelica,0.683,0.135,0.087,0.074,0.022
Kendall Marshall,0.444,0.043,0.085,0.222,0.205
Miles Plumlee,0.657,0.288,0.034,0.021,0
Kyle Anderson,0.293,0.194,0.18,0.276,0.058
Rashad Vaughn,0.659,0.159,0.117,0.057,0.008
Cole Aldrich,0.836,0.129,0.027,0.009,0
John Jenkins,0.425,0.206,0.094,0.194,0.081
Jonas Jerebko,0.727,0.156,0.089,0.028,0
Shabazz Napier,0.323,0.139,0.09,0.219,0.229
Quincy Acy,0.829,0.105,0.057,0.01,0
Chase Budinger,0.628,0.151,0.121,0.088,0.013
Brandon Rush,0.662,0.146,0.108,0.077,0.008
Joe Ingles,0.639,0.189,0.076,0.089,0.007
Noah Vonleh,0.679,0.139,0.102,0.073,0.007
Ray McCallum,0.414,0.09,0.09,0.207,0.2
Josh McRoberts,0.595,0.108,0.128,0.149,0.02
Solomon Hill,0.57,0.111,0.126,0.193,0
James Anderson,0.531,0.103,0.154,0.166,0.046
Bismack Biyombo,0.816,0.128,0.032,0.025,0
Alonzo Gee,0.5,0.244,0.116,0.14,0
Darrun Hilliard,0.466,0.13,0.168,0.214,0.023
Drew Gooden,0.728,0.136,0.087,0.039,0.01
Willie Reed,0.835,0.12,0.015,0.03,0
Glenn Robinson,0.536,0.159,0.152,0.132,0.02
Kelly Oubre,0.55,0.104,0.133,0.142,0.071
Phil Pressey,0.117,0.078,0.065,0.39,0.351
Axel Toupane,0.843,0.114,0,0.043,0
Kyle Singler,0.738,0.136,0.09,0.036,0
Jeff Withey,0.87,0.099,0.031,0,0
Johnny O'Bryant,0.694,0.201,0.072,0.029,0.005
Justin Anderson,0.563,0.144,0.144,0.109,0.04
Kevin Garnett,0.73,0.261,0.009,0,0
Dewayne Dedmon,0.802,0.153,0.028,0.017,0
Robert Sacre,0.733,0.107,0.133,0.027,0
Tayshaun Prince,0.643,0.143,0.089,0.107,0.018
Omer Asik,0.844,0.115,0.026,0.016,0
Kirk Hinrich,0.318,0.116,0.147,0.256,0.163
Luc Mbah a Moute,0.7,0.179,0.077,0.043,0
Chris Johnson,0.596,0.155,0.13,0.119,0
Tarik Black,0.683,0.24,0.048,0.019,0.01
Chris Andersen,0.833,0.125,0.028,0.014,0
Reggie Bullock,0.765,0.051,0.143,0.041,0
Andre Miller,0.214,0.122,0.163,0.265,0.235
Kostas Papanikolaou,0.545,0.136,0.197,0.091,0.03
Sonny Weems,0.569,0.147,0.11,0.138,0.037
Pablo Prigioni,0.333,0.122,0.095,0.184,0.265
Cristiano Felicio,0.833,0.111,0.042,0.014,0
Salah Mejri,0.846,0.077,0.051,0.026,0
Jason Thompson,0.642,0.17,0.113,0.057,0.019
Lamar Patterson,0.709,0.063,0.076,0.101,0.051
Ryan Hollins,0.797,0.139,0.051,0.013,0
Kendrick Perkins,0.613,0.2,0.08,0.107,0
Nick Collison,0.752,0.193,0.055,0,0
Sergey Karasev,0.699,0.137,0.068,0.082,0.014
