PLAYER_NAME,Touch < 2 Seconds,Touch 2-6 Seconds,Touch 6+ Seconds
Reggie Bullock,0.837,0.163,0
Andre Miller,0.316,0.357,0.327
Kostas Papanikolaou,0.667,0.303,0.03
Sonny Weems,0.67,0.294,0.037
Pablo Prigioni,0.381,0.374,0.245
Cristiano Felicio,0.875,0.125,0
Salah Mejri,0.859,0.128,0.013
Jason Thompson,0.764,0.208,0.028
Lamar Patterson,0.747,0.203,0.051
Ryan Hollins,0.81,0.19,0
Kendrick Perkins,0.627,0.307,0.067
Nick Collison,0.835,0.165,0
Sergey Karasev,0.781,0.205,0.014
