PLAYER_NAME,DRIVE,CATCH_SHOOT,PULL_UP,PAINT_TOUCH,POST_TOUCH,ELBOW_TOUCH,FG3A
John Jenkins,0.146,0.268,0.317,0.073,0.049,0.098,0.319
Jonas Jerebko,0.114,0.409,0.023,0.182,0.182,0.023,0.379
Shabazz Napier,0.135,0.324,0.351,0.0,0.0,0.0,0.517
Quincy Acy,0.038,0.264,0.019,0.226,0.302,0.038,0.233
Chase Budinger,0.195,0.268,0.049,0.122,0.146,0.024,0.36
Brandon Rush,0.071,0.595,0.143,0.048,0.048,0.0,0.604
Joe Ingles,0.095,0.619,0.19,0.0,0.0,0.024,0.722
Noah Vonleh,0.111,0.25,0.028,0.111,0.194,0.028,0.168
Ray McCallum,0.152,0.364,0.242,0.091,0.061,0.03,0.283
Josh McRoberts,0.194,0.361,0.028,0.111,0.111,0.139,0.331
Solomon Hill,0.143,0.31,0.071,0.143,0.167,0.048,0.353
James Anderson,0.257,0.343,0.114,0.057,0.086,0.0,0.48
Bismack Biyombo,0.0,0.055,0.018,0.491,0.545,0.036,0.004
Alonzo Gee,0.244,0.178,0.022,0.156,0.178,0.0,0.236
Darrun Hilliard,0.2,0.35,0.175,0.05,0.075,0.025,0.382
Drew Gooden,0.074,0.407,0.074,0.111,0.148,0.037,0.398
Willie Reed,0.0,0.064,0.021,0.404,0.426,0.085,0.0
Glenn Robinson,0.105,0.289,0.105,0.184,0.211,0.079,0.245
Kelly Oubre,0.243,0.297,0.0,0.162,0.189,0.027,0.374
Phil Pressey,0.515,0.091,0.182,0.0,0.0,0.0,0.221
Axel Toupane,0.0,0.583,0.028,0.111,0.167,0.0,0.571
Kyle Singler,0.088,0.471,0.059,0.088,0.088,0.029,0.439
Jeff Withey,0.023,0.093,0.0,0.419,0.488,0.07,0.012
Johnny O'Bryant,0.033,0.267,0.1,0.2,0.233,0.067,0.005
Justin Anderson,0.263,0.237,0.158,0.053,0.053,0.026,0.471
Kevin Garnett,0.0,0.437,0.156,0.219,0.25,0.063,0.009
